"OBJECTID","COSEWICID","SCI_NAME","COM_NAME_E","COM_NAME_F","TAXON_E","TAXON_F","SAR_STAT_E","SAR_STAT_F","SCHEDULE_E","SCHEDULE_F","SOURCE_E","SOURCE_F","FCLASS","IMAGE_SRC","Reviewed_YN","Reviewer","ReviewDateDMY","Historical_YN","EC_SOI_YN","DataSource","Shape_STArea__","Shape_STLength__","Shape_Length","Shape_Area"
"1","1046","Podiceps auritus","Horned Grebe (Magdalen Islands population)","Grèbe esclavon","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Podiceps_auritus","podi_aur.JPG","N","","","N","Y","COSEWIC","1.99639224111138","40.1796603298299","40.1796603298299","1.996392241112"
"2","12","Lotus formosissimus","Seaside Birds–foot Lotus","Lotier splendide","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Lotus_formosissimus","","N","","","N","Y","Environment Canada","0.00506661763665761","0.408151828367666","0.408151828367665","0.00506661763584775"
"3","20","Athene cunicularia","Burrowing Owl","Chevêche des terriers","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Athene_cunicularia","","N","","","N","Y","Environment Canada","24.44052976596","27.7934832928376","27.7934832928376","24.4405297659563"
"4","27","Charadrius montanus","Mountain Plover","Pluvier montagnard","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Charadrius_montanus","","N","","","N","Y","Environment Canada","0.272964713687998","3.17093890795959","3.17093890795959","0.272964713681161"
"5","32","Oreoscoptes montanus","Sage Thrasher","Moqueur des armoises","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Oreoscoptes_montanus","","N","","","N","Y","Environment Canada","1.92694018785005","9.88812956915328","9.88812956915328","1.9269401878478"
"6","33","Strix occidentalis caurina","Spotted Owl caurina subspecies","Chouette tachetée de la sous-espèce caurina","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Strix_occidentalis_caurina","","N","","","N","Y","Environment Canada","2.02597069046578","9.87511999920424","9.87511999920426","2.0259706904588"
"7","35","Tympanuchus cupido","Greater Prairie–Chicken","Tétras des prairies","Birds","Oiseaux","Extirpated","Disparue du pays","Schedule 1","Annexe 1","Digitized","Numérisé","Tympanuchus_cupido","Tym_cupi.JPG","N","","","N","Y","LAP_SAR_O2_20130328","80.0364371900309","49.4607363801261","49.4607363801261","80.0364371900407"
"8","38","Lanius ludovicianus excubitorides","Loggerhead Shrike Prairie subspecies","Pie–grièche migratrice de la sous–espèce des Prairies","Birds","Oiseaux","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Lanius_ludovicianus_excubitorides","lanilud.JPG","N","","","N","Y","SARR","57.0974213951895","36.9434736170248","36.9434736170248","57.0974213951934"
"9","39","Brachyramphus marmoratus","Marbled Murrelet","Guillemot marbré","Birds","Oiseaux","Threatened","Menacée","Schedule 1","Annexe 1","Unknown","Inconnu","Brachyramphus_marmoratus","","N","","","N","Y","Environment Canada","18.6979700693601","286.643388306745","286.643388306745","18.6979700693436"
"10","41","Picoides albolarvatus","White–headed Woodpecker","Pic à tête blanche","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Picoides_albolarvatus","","N","","","N","Y","Environment Canada","0.529792503882163","4.87044454512502","4.87044454512503","0.529792503879363"
"11","42","Icteria virens auricollis","Yellow-breasted Chat auricollis subspecies (Southern Mountain population)","Paruline polyglotte de la sous-espèce auricollis (Population des montagnes du Sud)","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Icteria_virens_auricollis","","N","","","N","Y","Environment Canada","0.742510396199123","4.15526280215384","4.15526280215385","0.742510396201315"
"12","43","Synthliboramphus antiquus","Ancient Murrelet","Guillemot à cou blanc","Birds","Oiseaux","Special Concern","Préoccupante","Schedule 1","Annexe 1","Non-digitized","NatureServe","Synthliboramphus_antiquus","","N","","","N","Y","NatureServe","20.4397277721223","248.843872854676","248.843872854676","20.4397277721106"
"13","44","Tyto alba","Barn Owl (Western population)","Effraie des clochers (Population de l'Ouest)","Birds","Oiseaux","Threatened","Menacée","Schedule 1","Annexe 1","Unknown","Inconnu","Tyto_alba","","N","","","N","Y","Environment Canada","1.09409278230169","16.6523282667192","16.6523282667193","1.0940927823079"
"14","47","Buteo regalis","Ferruginous Hawk","Buse rouilleuse","Birds","Oiseaux","Threatened","Menacée","Schedule 1","Annexe 1","Non-digitized","NatureServe","Buteo_regalis","","N","","","N","Y","NatureServe","25.9861534134866","33.9603349744778","33.9603349744778","25.9861534134858"
"15","48","Otus flammeolus","Flammulated Owl","Petit–duc nain","Birds","Oiseaux","Special Concern","Préoccupante","Schedule 1","Annexe 1","Unknown","Inconnu","Otus_flammeolus","","N","","","N","Y","Environment Canada","4.53338775029806","19.9619456963118","19.9619456963118","4.53338775029121"
"16","52","Numenius americanus","Long–billed Curlew","Courlis à long bec","Birds","Oiseaux","Special Concern","Préoccupante","Schedule 1","Annexe 1","Non-digitized","NatureServe","Numenius_americanus","","N","","","N","Y","NatureServe","36.4133276031916","43.9408462603496","43.9408462603496","36.4133276031915"
"17","54","Falco peregrinus pealei","Peregrine Falcon pealei subspecies","Faucon pèlerin de la sous-espèce pealei","Birds","Oiseaux","Special Concern","Préoccupante","Schedule 1","Annexe 1","Unknown","Inconnu","Falco_peregrinus_pealei","","N","","","N","Y","Environment Canada","1.97587843801148","44.1533111399101","44.15331113991","1.97587843801043"
"18","56","Accipiter gentilis laingi","Northern Goshawk laingi subspecies","Autour des palombes de la sous-espèce laingi","Birds","Oiseaux","Threatened","Menacée","Schedule 1","Annexe 1","Unknown","Inconnu","Accipiter_gentilis_laingi","","N","","","N","Y","Environment Canada","5.48767220860873","79.4736873287019","79.4736873287019","5.48767220860702"
"19","124","Heterodermia sitchensis","Seaside Centipede Lichen","Hétérodermie maritime","Lichens","Lichens","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Heterodermia_sitchensis","","N","","","N","Y","Environment Canada","0.034311475757022","1.42923000442905","1.42923000442905","0.0343114757566694"
"20","126","Pseudocyphellaria rainierensis","Oldgrowth Specklebelly Lichen","Pseudocyphellie des forêts surannées","Lichens","Lichens","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Pseudocyphellaria_rainierensis","Pseu_rain_canada.JPG","N","","","N","Y","LAP_SAR_O2_20130328","0.476147700449474","9.92905634886906","9.92905634886905","0.476147700447411"
"21","127","Hypogymnia heterophylla","Seaside Bone Lichen","Hypogymnie maritime","Lichens","Lichens","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Hypogymnia_heterophylla","hypo_het.JPG","N","","","N","Y","COSEWIC","0.00709439613228824","0.600812395133582","0.600812395133582","0.00709439613501615"
"22","136","Marmota vancouverensis","Vancouver Island Marmot","Marmotte de l’île de Vancouver","Mammals","Mammifères","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Marmota_vancouverensis","","N","","","N","Y","Environment Canada","0.228843374394273","2.55402382800727","2.55402382800727","0.228843374403559"
"23","138","Mustela nigripes","Black–footed Ferret","Putois d'Amérique","Mammals","Mammifères","Extirpated","Disparue du pays","Schedule 1","Annexe 1","Digitized","Numérisé","Mustela_nigripes","Must_nigr.JPG","N","","","N","Y","LAP_SAR_O2_20130328","8.38382717535706","17.8868389843165","17.8868389843165","8.3838271753631"
"24","140","Vulpes velox","Swift Fox","Renard véloce","Mammals","Mammifères","Threatened","Menacée","Schedule 1","Annexe 1","Unknown","Inconnu","Vulpes_velox","","N","","","N","Y","Environment Canada","8.1078777964608","16.8950968989281","16.8950968989281","8.10787779645648"
"25","141","Sorex bendirii","Pacific Water Shrew","Musaraigne de Bendire","Mammals","Mammifères","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Sorex_bendirii","","N","","","N","Y","Environment Canada","0.700467521751762","7.89197999010962","7.89197999010963","0.700467521753106"
