"","COSEWICID","SCI_NAME","COM_NAME","TAXON","SAR_STAT","SCHEDULE","CODE","HABITAT","SUITABILITY","SEASON","MAJ_IMPORTANCE"
"1","1046","Podiceps auritus","Horned Grebe (Magdalen Islands population)","Birds","Endangered","Schedule 1","5.4","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable","Breeding Season","Yes"
"2","1046","Podiceps auritus","Horned Grebe (Magdalen Islands population)","Birds","Endangered","Schedule 1","5.5","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable","Breeding Season","Yes"
"3","1046","Podiceps auritus","Horned Grebe (Magdalen Islands population)","Birds","Endangered","Schedule 1","9.1","Marine Neritic - Pelagic","Suitable","Non-Breeding Season","No"
"4","1046","Podiceps auritus","Horned Grebe (Magdalen Islands population)","Birds","Endangered","Schedule 1","9.10","Marine Neritic - Estuaries","Suitable","Non-Breeding Season","No"
"5","12","Lotus formosissimus","Seaside Birds–foot Lotus","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"6","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","14.1","Artificial/Terrestrial - Arable Land","Suitable","Breeding Season","No"
"7","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","14.1","Artificial/Terrestrial - Arable Land","Suitable","Non-Breeding Season","No"
"8","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","14.2","Artificial/Terrestrial - Pastureland","Suitable","Breeding Season","No"
"9","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","14.2","Artificial/Terrestrial - Pastureland","Suitable","Non-Breeding Season","No"
"10","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","14.5","Artificial/Terrestrial - Urban Areas","Suitable","Breeding Season","No"
"11","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","14.5","Artificial/Terrestrial - Urban Areas","Suitable","Non-Breeding Season","No"
"12","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","2.1","Savanna - Dry","Suitable","Breeding Season","No"
"13","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","3.5","Shrubland - Subtropical/Tropical Dry","Suitable","Breeding Season","No"
"14","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","3.7","Shrubland - Subtropical/Tropical High Altitude","Suitable","Breeding Season","No"
"15","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","4.4","Grassland - Temperate","Suitable","Breeding Season","Yes"
"16","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","8.1","Desert - Hot","Suitable","Breeding Season","No"
"17","20","Athene cunicularia","Burrowing Owl","Birds","Endangered","Schedule 1","8.1","Desert - Hot","Suitable","Non-Breeding Season","No"
"18","27","Charadrius montanus","Mountain Plover","Birds","Endangered","Schedule 1","14.1","Artificial/Terrestrial - Arable Land","Suitable","Non-Breeding Season","No"
"19","27","Charadrius montanus","Mountain Plover","Birds","Endangered","Schedule 1","3.4","Shrubland - Temperate","Suitable","Breeding Season","Yes"
"20","27","Charadrius montanus","Mountain Plover","Birds","Endangered","Schedule 1","4.4","Grassland - Temperate","Suitable","Breeding Season","Yes"
"21","27","Charadrius montanus","Mountain Plover","Birds","Endangered","Schedule 1","4.4","Grassland - Temperate","Suitable","Non-Breeding Season","Yes"
"22","32","Oreoscoptes montanus","Sage Thrasher","Birds","Endangered","Schedule 1","3.4","Shrubland - Temperate","Suitable","Breeding Season","Yes"
"23","32","Oreoscoptes montanus","Sage Thrasher","Birds","Endangered","Schedule 1","3.5","Shrubland - Subtropical/Tropical Dry","Suitable","Breeding Season","Yes"
"24","32","Oreoscoptes montanus","Sage Thrasher","Birds","Endangered","Schedule 1","3.5","Shrubland - Subtropical/Tropical Dry","Suitable","Non-Breeding Season","Yes"
"25","33","Strix occidentalis caurina","Spotted Owl caurina subspecies","Birds","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"26","35","Tympanuchus cupido","Greater Prairie–Chicken","Birds","Extirpated","Schedule 1","1.4","Forest - Temperate","Suitable","Resident","Yes"
"27","35","Tympanuchus cupido","Greater Prairie–Chicken","Birds","Extirpated","Schedule 1","4.4","Grassland - Temperate","Suitable","Resident","Yes"
"28","38","Lanius ludovicianus excubitorides","Loggerhead Shrike Prairie subspecies","Birds","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"29","39","Brachyramphus marmoratus","Marbled Murrelet","Birds","Threatened","Schedule 1","10.1","Marine Oceanic - Epipelagic (0-200m)","Suitable","Non-Breeding Season","No"
"30","39","Brachyramphus marmoratus","Marbled Murrelet","Birds","Threatened","Schedule 1","13.4","Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes","Suitable","Non-Breeding Season","No"
"31","39","Brachyramphus marmoratus","Marbled Murrelet","Birds","Threatened","Schedule 1","1.4","Forest - Temperate","Suitable","Breeding Season","Yes"
"32","39","Brachyramphus marmoratus","Marbled Murrelet","Birds","Threatened","Schedule 1","5.5","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable","Non-Breeding Season","Yes"
"33","39","Brachyramphus marmoratus","Marbled Murrelet","Birds","Threatened","Schedule 1","5.7","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable","Non-Breeding Season","Yes"
"34","39","Brachyramphus marmoratus","Marbled Murrelet","Birds","Threatened","Schedule 1","9.1","Marine Neritic - Pelagic","Suitable","Resident","No"
