OBJECTID,COSEWICID,SCI_NAME,COM_NAME_E,COM_NAME_F,TAXON_E,TAXON_F,SAR_STAT_E,SAR_STAT_F,SCHEDULE_E,SCHEDULE_F,SOURCE_E,SOURCE_F,FCLASS,IMAGE_SRC,Reviewed_YN,Reviewer,ReviewDateDMY,Historical_YN,EC_SOI_YN,DataSource,MB_YN,Shape_STArea__,Shape_STLength__,Shape_Length,Shape_Area,COSEWICID_NAME
1,1046,Podiceps auritus,Horned Grebe (Magdalen Islands population),Grèbe esclavon,Birds,Oiseaux,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Podiceps_auritus,podi_aur.JPG,N,,,N,Y,COSEWIC,Y,1.996392241,40.17966033,40.17966033,1.996392241,COSEWICID_1046
2,12,Lotus formosissimus,Seaside Birds–foot Lotus,Lotier splendide,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Lotus_formosissimus, ,N,,,N,Y,Environment Canada,,0.005066618,0.408151828,0.408151828,0.005066618,COSEWICID_12
3,20,Athene cunicularia,Burrowing Owl,Chevêche des terriers,Birds,Oiseaux,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Athene_cunicularia, ,N,,,N,Y,Environment Canada,N,24.44052977,27.79348329,27.79348329,24.44052977,COSEWICID_20
4,27,Charadrius montanus,Mountain Plover,Pluvier montagnard,Birds,Oiseaux,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Charadrius_montanus, ,N,,,N,Y,Environment Canada,Y,0.272964714,3.170938908,3.170938908,0.272964714,COSEWICID_27
5,32,Oreoscoptes montanus,Sage Thrasher,Moqueur des armoises,Birds,Oiseaux,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Oreoscoptes_montanus, ,N,,,N,Y,Environment Canada,Y,1.926940188,9.888129569,9.888129569,1.926940188,COSEWICID_32
6,33,Strix occidentalis caurina,Spotted Owl caurina subspecies,Chouette tachetée de la sous-espèce caurina,Birds,Oiseaux,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Strix_occidentalis_caurina, ,N,,,N,Y,Environment Canada,N,2.02597069,9.875119999,9.875119999,2.02597069,COSEWICID_33
7,35,Tympanuchus cupido,Greater Prairie–Chicken,Tétras des prairies,Birds,Oiseaux,Extirpated,Disparue du pays,Schedule 1,Annexe 1,Digitized,Numérisé,Tympanuchus_cupido,Tym_cupi.JPG,N,,,N,Y,LAP_SAR_O2_20130328,N,80.03643719,49.46073638,49.46073638,80.03643719,COSEWICID_35
8,38,Lanius ludovicianus excubitorides,Loggerhead Shrike Prairie subspecies,Pie–grièche migratrice de la sous–espèce des Prairies,Birds,Oiseaux,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Lanius_ludovicianus_excubitorides,lanilud.JPG,N,,,N,Y,SARR,Y,57.0974214,36.94347362,36.94347362,57.0974214,COSEWICID_38
9,39,Brachyramphus marmoratus,Marbled Murrelet,Guillemot marbré,Birds,Oiseaux,Threatened,Menacée,Schedule 1,Annexe 1,Unknown,Inconnu,Brachyramphus_marmoratus, ,N,,,N,Y,Environment Canada,Y,18.69797007,286.6433883,286.6433883,18.69797007,COSEWICID_39
10,41,Picoides albolarvatus,White–headed Woodpecker,Pic à tête blanche,Birds,Oiseaux,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Picoides_albolarvatus, ,N,,,N,Y,Environment Canada,Y,0.529792504,4.870444545,4.870444545,0.529792504,COSEWICID_41
